"Jday","y1","y2","Tsoil","Tair","SWC","PAR","WS","PA","rH","LE","H","SR"
228.8125,0.500142832359776,-0.865942923776816,24.16,23.8,26.5,-20.19998274,1.22684,102.002,87.167,-77.15,-3.1617,NA
228.8333333,0.481995154954574,-0.876173881487183,24.11,23.3,26.5,-20.198453,0.597103,102.03,89.347,-93.7333333333333,-2.8537,NA
228.8541667,0.463638197896692,-0.886024616729754,24.05,23.2,26.5,-20.17411343,0.900008,102.068,88.843,-92.875,1.7045,NA
228.875,0.445080104521635,-0.895490759616765,23.99,22.7,26.5,-20.1783285,0.441019,102.104,91.115,-90.46,-7.6778,NA
228.8958333,0.426328841622921,-0.904568249940522,23.92,22.4,26.5,-20.17693398,0.826296,102.097,91.792,-93.0333333333333,2.0313,NA
228.9166667,0.407392456123776,-0.913253188712439,23.85,21.8,26.5,-20.1650512,0.284208,102.093,92.892,-60.525,-1.9295,NA
228.9375,0.38827934840014,-0.921541723204089,23.77,21.5,26.5,-20.05560343,0.107739,102.093,93.646,-25.5,0.426,NA
228.9583333,0.368997723288252,-0.929430298735783,23.69,21.5,26.5,-20.15377315,0.230193,102.105,93.994,-25.5,1.0638,NA
228.9791667,0.349555855527977,-0.936915526537,23.61,21.2,26.5,-20.11077072,0.224756,102.117,94.278,-18.8236666666667,0.278,NA
229,0.329962369732397,-0.943994086083478,23.54,21.4,26.5,-20.12551999,0.30713,102.113,94.458,-18.8236666666667,-0.282,NA
229.0208333,0.310225676740768,-0.950662942104473,23.47,21.2,26.5,-20.06105567,0.326956,102.092,94.459,-13.1355,-1.7662,NA
229.0416667,0.290354246796905,-0.956919229280613,23.41,20.9,26.5,-19.86664524,0.282504,102.107,94.615,-4.79845,-1.2347,NA
229.0625,0.27035689507211,-0.962760172258371,23.35,20.9,26.5,-19.81290669,0.659359,102.102,94.793,-4.79845,3.1732,NA
229.0833333,0.250242205564501,-0.968183267028621,23.29,20.5,26.6,-19.82185615,0.519129,102.087,94.865,-24.531475,-1.6268,NA
229.1041667,0.23001881094573,-0.973186182912146,23.23,20.5,26.6,-19.82816015,0.377264,102.073,95.057,-46.4,-0.148,NA
229.125,0.209695682522257,-0.977766700563854,23.17,20,26.6,-19.86089979,0.466541,102.087,95.081,-46.4,-1.3176,NA
229.1458333,0.189281543930738,-0.981922857014336,23.1,19.8,26.6,-19.87814787,0.276148,102.067,95.199,-28.7,-0.857,NA
